Adult Summary,Run Date: 02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASELLE HATCHERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 01/01/2019 - 02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species: COHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run: NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Brood,Adults In,Jacks In,Male Plant,Female Plant,Jack Plant,Adult Ship,Male Ship,Female Ship,Jack Ship,Male Morts,Female Morts,Jack Morts,Male Surplus,Female Surplus,Jack Surplus,Lethal Male Spawn,Lethal Female Spawn,Lethal Jack Spawn,Lethal NVF Spawn,Live Male Spawn,Live Female Spawn,Live Jack Spawn,Live NVF Spawn,Egg Count,Adults On Hand,Jacks On Hand,Mark Info,Other Mark,Checked for Wire,Wire Present,Wire Collected,CWT Detected Males,CWT Detected Females,CWT Detected Jacks,CWT Collected Males,CWT Collected Females,CWT Collected Jacks,Bag Number
10/06/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,0,2,0,671,607,156,,,,,,,,,,0,0,AD,,Y,N,N,,,,,,,
10/07/2020,CO:NA:NASE:2020:H,345,117,,,,,,,,,,,,,,,,,,,,,,,345,117,,,N,N,N,,,,,,,
10/07/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,4,8,0,156,177,117,,,,,,,,,,0,0,AD,,Y,N,N,,,,,,,
10/08/2020,CO:NA:NASE:2020:H,523,11,,,,,,,,,,,,,,,,,,,,,,,523,11,,,N,N,N,,,,,,,
10/08/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,14,9,11,,,,,,,,,,,,,500,0,AD,,Y,N,N,,,,,,,
10/08/2020,CO:NA:NASE:2020:W,8,0,,,,,,,,,,,,,,,,,,,,,,,508,0,,,N,N,N,,,,,,,
10/08/2020,CO:NA:NASE:2020:W,0,0,5,3,0,,,,,,,,,,,,,,,,,,,,500,0,UM,,Y,N,N,,,,,,,
10/14/2020,CO:NA:NASE:2020:H,3091,208,,,,,,,,,,,,,,,,,,,,,,,3591,208,,,N,N,N,,,,,,,
10/14/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,3,11,0,1602,1174,208,,,,,,,,,,801,0,AD,,Y,N,N,,,,,,,
10/14/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,800,0,AD,,Y,Y,Y,1,0,0,1,0,0,61691
10/15/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,2,5,0,,,,,,,,,,,,,793,0,AD,,Y,N,N,,,,,,,
10/19/2020,CO:NA:NASE:2020:H,700,3,,,,,,,,,,,,,,,,,,,,,,,1493,3,,,N,N,N,,,,,,,
10/19/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,3,9,3,,,,,,,,,,,,,1481,0,AD,,Y,N,N,,,,,,,
10/19/2020,CO:NA:NASE:2020:W,9,0,,,,,,,,,,,,,,,,,,,,,,,1490,0,,,N,N,N,,,,,,,
10/19/2020,CO:NA:NASE:2020:W,0,0,3,3,0,,,,,2,1,0,,,,,,,,,,,,,1481,0,UM,,Y,N,N,,,,,,,
10/27/2020,CO:NA:NASE:2020:H,253,225,,,,,,,,,,,,,,,,,,,,,,,1734,225,,,N,N,N,,,,,,,
10/27/2020,CO:NA:NASE:2020:H,0,0,,,,,,,,29,43,4,7,0,209,316,329,12,10,,,,,,1000,0,AD,,Y,N,N,,,,,,,
10/27/2020,CO:NA:NASE:2020:M,0,0,,,,,,,,,,,,,,,,,,,,,,767800,1000,0,,,N,N,N,,,,,,,
10/27/2020,CO:NA:NASE:2020:W,46,1,,,,,,,,,,,,,,,,,,,,,,,1046,1,,,N,N,N,,,,,,,
10/27/2020,CO:NA:NASE:2020:W,0,0,,,,,,,,2,3,1,,,,21,20,0,0,,,,,,1000,0,UM,,Y,N,N,,,,,,,
11/04/2020,CO:NA:NASE:2020:H,601,68,,,,,,,,,,,,,,,,,,,,,,,1601,68,,,N,N,N,,,,,,,
